comunidad_autonoma,edad,genero,actividad_fisica,asistencia_cine,asistencia_directos,asistencia_cultural,asistencia_deporte,dias_alta_contaminacion,estudios,estado_civil,horasTrabajadas_mes,salario_anual,satisf_hospitales,satisf_dentistas,satisf_especialistas,satisf_medGeneral,percepcion_seguridad
Galicia,73,hombre,nivel_moderado,no,no,si,no,3.7429,primero_secundaria,viudo/a,132.9646,25110.7555,neutral,insatisfecho/a,satisfecho/a,satisfecho/a,8.300324356595258
Galicia,41,mujer,nivel_bajo,no,si,no,no,5.2313,educacion_superior,casado/a,95.779,29162.1284,neutral,satisfecho/a,satisfecho/a,satisfecho/a,7.763149162288483
Galicia,93,hombre,nivel_bajo,no,no,no,no,4.1323,educacion_superior,casado/a,140.7735,23831.985,satisfecho/a,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,7.988811992963904
Galicia,47,mujer,nivel_moderado,no,si,si,si,2.9248,primero_secundaria,viudo/a,122.1396,20741.2155,muy_satisfecho/a,neutral,muy_satisfecho/a,muy_satisfecho/a,7.420497549730912
Galicia,38,mujer,nivel_bajo,no,no,si,si,7.5329,educacion_superior,divorciado/a,190.744,21638.7871,neutral,muy_satisfecho/a,muy_satisfecho/a,satisfecho/a,8.02408889898081
Galicia,62,hombre,nivel_bajo,no,no,no,si,3.0187,primero_secundaria,casado/a,236.3717,25164.9562,satisfecho/a,insatisfecho/a,satisfecho/a,muy_satisfecho/a,7.312360220700972
Galicia,45,hombre,nivel_moderado,si,no_puede,si,no,4.4457,primero_secundaria,soltero/a,148.1403,39346.8117,muy_satisfecho/a,satisfecho/a,satisfecho/a,neutral,6.972913179011877
Galicia,45,hombre,nivel_moderado,no,si,si,no,4.2452,primero_secundaria,viudo/a,126.1982,18864.7977,satisfecho/a,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,7.159761658502418
Galicia,55,mujer,nivel_moderado,no,no,no,si,2.9367,educacion_superior,soltero/a,124.7051,17363.764,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.412507129036268
Galicia,61,mujer,nivel_bajo,no,no,si,no,5.8935,primero_secundaria,casado/a,159.7158,17202.7145,muy_insatisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,6.71698383736145
Galicia,22,hombre,nivel_moderado,no,no,si,no,4.4861,primero_secundaria,soltero/a,219.1918,14681.7675,neutral,neutral,satisfecho/a,satisfecho/a,7.129524141880238
Galicia,67,mujer,nivel_bajo,no,si,si,no,5.4867,primero_secundaria,soltero/a,133.5846,30979.1699,satisfecho/a,neutral,muy_satisfecho/a,satisfecho/a,7.419273500234857
Galicia,13,hombre,nivel_moderado,si,no,no,no,3.7798,primero_secundaria,soltero/a,0.0,0.0,muy_satisfecho/a,neutral,muy_satisfecho/a,satisfecho/a,7.656276279317481
Galicia,78,hombre,nivel_bajo,no,no,si,no,4.4113,educacion_superior,casado/a,67.562,27876.4644,neutral,muy_satisfecho/a,satisfecho/a,satisfecho/a,8.259329947953358
Galicia,55,hombre,nivel_bajo,si,no,no,no,0.8538,segundo_secundaria_profesional_,divorciado/a,212.9678,26469.5541,satisfecho/a,satisfecho/a,neutral,satisfecho/a,6.785633656843601
Galicia,86,mujer,nivel_bajo,si,no,si,no,3.2177,educacion_superior,casado/a,151.572,29419.6918,satisfecho/a,muy_satisfecho/a,satisfecho/a,muy_satisfecho/a,7.485410444970754
Galicia,44,mujer,nivel_moderado,no,no,si,si,1.1331,segundo_secundaria_profesional_,soltero/a,179.2169,17057.4183,satisfecho/a,satisfecho/a,muy_satisfecho/a,satisfecho/a,8.545722852083795
Galicia,42,hombre,nivel_bajo,no,no_puede,no,no,3.547,primero_secundaria,casado/a,74.7185,23689.1681,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.3865196706605785
Galicia,39,mujer,nivel_moderado,no,si,si,si,3.8722,primero_secundaria,casado/a,130.6428,21663.0463,satisfecho/a,neutral,satisfecho/a,satisfecho/a,7.457511522714679
Galicia,69,mujer,nivel_bajo,no,no,si,no,3.3135,segundo_secundaria_general,soltero/a,132.2923,33505.1092,muy_satisfecho/a,satisfecho/a,insatisfecho/a,satisfecho/a,7.282955613685135
Galicia,29,mujer,nivel_moderado,no_puede,no,si,no,2.4851,educacion_superior,soltero/a,83.9432,25987.28,satisfecho/a,neutral,satisfecho/a,satisfecho/a,7.6456882576707486
Galicia,54,hombre,nivel_alto,si,no,no,si,5.0913,primero_secundaria,casado/a,260.8724,25843.7254,muy_satisfecho/a,neutral,satisfecho/a,neutral,8.44022476945485
Galicia,56,mujer,nivel_moderado,no,si,no,si,3.7633,educacion_superior,soltero/a,167.1847,21972.401,neutral,neutral,neutral,muy_insatisfecho/a,8.607971495560788
Galicia,74,hombre,nivel_moderado,si,no,no,no,4.4322,educacion_superior,viudo/a,140.7855,33879.3198,satisfecho/a,insatisfecho/a,muy_satisfecho/a,satisfecho/a,6.831943753166449
Galicia,50,mujer,nivel_moderado,no,no,no,si,3.8603,primero_secundaria,soltero/a,171.1541,25251.3724,neutral,neutral,neutral,satisfecho/a,7.492779669724725
Galicia,88,mujer,nivel_bajo,no,si,si,no,4.9894,educacion_superior,casado/a,166.8418,39348.9924,muy_insatisfecho/a,muy_satisfecho/a,satisfecho/a,muy_satisfecho/a,6.987546597079401
Galicia,75,mujer,nivel_bajo,si,no_puede,si,no,4.5724,primero_secundaria,soltero/a,170.9074,30468.734,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,satisfecho/a,7.551468458130949
Galicia,61,mujer,nivel_alto,no,no,si,no,6.3528,educacion_superior,casado/a,162.5125,25148.0091,muy_satisfecho/a,neutral,satisfecho/a,satisfecho/a,7.866812523921138
Galicia,63,mujer,nivel_moderado,si,no,no,no,3.3612,primero_secundaria,soltero/a,158.6283,13378.5197,muy_satisfecho/a,satisfecho/a,neutral,satisfecho/a,9.238642203516342
Galicia,49,hombre,nivel_moderado,no_puede,no,no_puede,no_puede,3.1318,educacion_superior,casado/a,192.6632,31726.7819,neutral,satisfecho/a,satisfecho/a,satisfecho/a,7.413235216710991
Galicia,58,hombre,nivel_alto,si,si,no,si,6.7807,primero_secundaria,soltero/a,166.8781,23046.3166,neutral,satisfecho/a,satisfecho/a,insatisfecho/a,7.298538834703819
Galicia,23,mujer,nivel_moderado,no,si,no,si,2.6269,educacion_superior,soltero/a,208.7352,19898.4595,insatisfecho/a,muy_satisfecho/a,neutral,satisfecho/a,7.562854330583892
Galicia,55,mujer,nivel_alto,no,si,no,no,2.1003,educacion_superior,casado/a,215.3431,35343.5762,satisfecho/a,neutral,muy_satisfecho/a,satisfecho/a,7.702882257973431
Galicia,48,hombre,nivel_moderado,no,si,no,si,6.8018,educacion_superior,divorciado/a,181.5263,29232.1829,neutral,satisfecho/a,satisfecho/a,insatisfecho/a,7.977802228065918
Galicia,45,hombre,nivel_moderado,no,si,si,si,3.043,primero_secundaria,soltero/a,167.6753,27474.2605,satisfecho/a,satisfecho/a,muy_insatisfecho/a,muy_satisfecho/a,8.551724339643501
Galicia,46,hombre,nivel_bajo,no,no,no,no,6.8045,segundo_secundaria_general,separado/a,244.2849,30534.6831,neutral,muy_satisfecho/a,satisfecho/a,neutral,7.928601062991804
Galicia,75,mujer,nivel_bajo,no,si,si,no,3.0691,primero_secundaria,soltero/a,113.9288,37924.1877,satisfecho/a,neutral,satisfecho/a,satisfecho/a,7.8541321231498085
Galicia,51,mujer,nivel_bajo,no,no_puede,no,no,4.1122,segundo_secundaria_general,soltero/a,171.7215,38091.2765,muy_insatisfecho/a,neutral,satisfecho/a,satisfecho/a,8.2417154643847
Galicia,18,hombre,nivel_bajo,no,si,si,no,2.8993,educacion_superior,casado/a,115.4088,26913.7305,satisfecho/a,satisfecho/a,muy_satisfecho/a,insatisfecho/a,8.796805996265268
Galicia,44,mujer,nivel_moderado,si,no,no,no,9.2695,educacion_superior,casado/a,227.5769,32295.0388,neutral,neutral,satisfecho/a,satisfecho/a,7.600450071020585
Galicia,41,hombre,nivel_moderado,no,no,si,no,5.9471,educacion_superior,soltero/a,124.7177,35501.1327,neutral,satisfecho/a,satisfecho/a,neutral,7.611040366638742
Galicia,33,mujer,nivel_moderado,no,no,no,si,3.5256,educacion_superior,casado/a,202.7624,17592.495,muy_satisfecho/a,satisfecho/a,insatisfecho/a,neutral,7.880314941411869
Galicia,41,mujer,nivel_bajo,no,no,no,no,5.3181,analfabetos,casado/a,104.2921,29006.2988,neutral,satisfecho/a,muy_satisfecho/a,neutral,7.646065529460125
Galicia,51,mujer,nivel_bajo,no,no,no,no,2.8149,primero_secundaria,soltero/a,177.7684,32573.1264,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.513051479015772
Galicia,35,mujer,nivel_bajo,no,no,no,no,3.993,segundo_secundaria_profesional_,casado/a,161.1007,33581.4677,neutral,neutral,satisfecho/a,satisfecho/a,8.186104338855973
Galicia,75,hombre,nivel_bajo,si,no,si,no,2.5709,segundo_secundaria_general,soltero/a,122.8057,30972.1669,muy_satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.29095496878351
Galicia,24,hombre,nivel_bajo,no,no,no,no,5.0996,primaria,soltero/a,181.0738,30829.9208,satisfecho/a,muy_satisfecho/a,neutral,insatisfecho/a,7.530344019963987
Galicia,47,mujer,nivel_moderado,no,no,si,no,5.418,primero_secundaria,casado/a,101.3283,28811.127,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.70745280905205
Galicia,38,mujer,nivel_moderado,no,no,si,no,3.3726,segundo_secundaria_general,soltero/a,208.6623,21877.2025,insatisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,7.517039219212267
Galicia,37,hombre,nivel_moderado,no_puede,si,no,si,7.5935,educacion_superior,soltero/a,135.3082,30422.8251,satisfecho/a,satisfecho/a,neutral,satisfecho/a,7.446580321574102
Galicia,63,hombre,nivel_bajo,no,no,si,no,1.2936,segundo_secundaria_general,casado/a,170.5316,15849.2238,satisfecho/a,muy_satisfecho/a,neutral,muy_satisfecho/a,8.28268824713274
Galicia,59,mujer,nivel_moderado,no,no,no,no,5.9407,primaria,casado/a,193.1923,20629.5726,satisfecho/a,neutral,satisfecho/a,neutral,7.3817564644321765
Galicia,33,hombre,nivel_moderado,no,no,no,si,5.5076,segundo_secundaria_general,soltero/a,148.2987,23567.7044,neutral,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,9.163502642189702
Galicia,79,mujer,nivel_bajo,si,no,no,no,5.2798,primero_secundaria,casado/a,145.4099,18655.9229,neutral,satisfecho/a,muy_satisfecho/a,satisfecho/a,7.616453819542696
Galicia,66,mujer,nivel_bajo,no,no,no_puede,si,0.919,educacion_superior,casado/a,147.9715,25871.4981,neutral,satisfecho/a,satisfecho/a,muy_insatisfecho/a,7.103825641053614
Galicia,25,hombre,nivel_moderado,no,no,no,no,5.2674,educacion_superior,casado/a,150.2431,29192.9593,satisfecho/a,satisfecho/a,muy_satisfecho/a,neutral,7.4762831576100375
Galicia,10,mujer,nivel_alto,no,si,no,si,3.8376,primaria,soltero/a,0.0,0.0,satisfecho/a,satisfecho/a,muy_satisfecho/a,satisfecho/a,8.343082138750574
Galicia,46,mujer,nivel_alto,no,si,no,no,4.9392,primaria,casado/a,139.9258,15366.0269,muy_satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.31826456917686
Galicia,77,hombre,nivel_bajo,si,no,no,no,3.787,segundo_secundaria_general,soltero/a,175.0707,28277.7566,satisfecho/a,muy_satisfecho/a,neutral,satisfecho/a,7.310791863598858
Galicia,110,mujer,nivel_bajo,no,no,no,si,2.7161,primero_secundaria,casado/a,49.0265,30835.3432,insatisfecho/a,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,7.9658644814846555
Galicia,77,hombre,nivel_bajo,no,no,si,no,4.0413,primero_secundaria,soltero/a,145.0501,33093.0832,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,9.151637815506664
Galicia,88,mujer,nivel_bajo,no,si,no,si,0.0,educacion_superior,casado/a,198.7081,15376.6984,satisfecho/a,muy_satisfecho/a,satisfecho/a,neutral,6.9861117594314255
Galicia,25,mujer,nivel_alto,no_puede,no,no,no,6.4564,primero_secundaria,soltero/a,158.9709,20631.7511,satisfecho/a,neutral,satisfecho/a,satisfecho/a,6.752343942400122
Galicia,31,hombre,nivel_moderado,no,si,si,no,6.7991,segundo_secundaria_general,soltero/a,112.3132,26345.9544,satisfecho/a,neutral,neutral,satisfecho/a,7.459070066512663
Galicia,35,hombre,nivel_moderado,si,no,no,no,3.0269,primaria,soltero/a,135.1139,15173.0367,insatisfecho/a,neutral,satisfecho/a,satisfecho/a,7.060843086269718
Galicia,26,mujer,nivel_alto,no,no,si,si,6.6083,segundo_secundaria_general,casado/a,168.2789,17554.6377,neutral,neutral,satisfecho/a,satisfecho/a,7.3659417899043
Galicia,48,mujer,nivel_moderado,no,si,no,no,4.0212,primero_secundaria,viudo/a,150.5581,24964.878,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,6.643589543841915
Galicia,46,hombre,nivel_moderado,no,si,si,no,1.668,primero_secundaria,casado/a,138.5611,29056.1985,satisfecho/a,neutral,muy_satisfecho/a,muy_satisfecho/a,8.582168647102822
Galicia,88,mujer,nivel_bajo,no,no,no,si,3.6766,primero_secundaria,soltero/a,119.9209,14645.6933,neutral,satisfecho/a,muy_satisfecho/a,satisfecho/a,7.572480191872627
Galicia,42,mujer,nivel_moderado,si,no,no,no,2.1574,segundo_secundaria_profesional_,soltero/a,100.9625,11986.8897,satisfecho/a,neutral,satisfecho/a,satisfecho/a,7.982655332257804
Galicia,73,mujer,nivel_bajo,no,no,no,no,2.5463,segundo_secundaria_general,soltero/a,152.7061,29637.7818,satisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,8.473411841863344
Galicia,57,hombre,nivel_moderado,no,si,si,si,2.6715,segundo_secundaria_general,soltero/a,207.9205,36160.6477,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.375751568977869
Galicia,30,mujer,nivel_alto,si,no,no,no,2.2457,segundo_secundaria_general,casado/a,192.8917,21325.683,neutral,satisfecho/a,neutral,insatisfecho/a,6.583792922228657
Galicia,20,hombre,nivel_moderado,si,si,no,no,3.1093,primero_secundaria,casado/a,82.1339,23860.2474,neutral,muy_satisfecho/a,satisfecho/a,muy_satisfecho/a,7.864047637732716
Galicia,20,hombre,nivel_alto,no,no,no,si,3.3355,educacion_superior,casado/a,124.855,14415.0359,muy_satisfecho/a,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,8.351688434584878
Galicia,37,hombre,nivel_bajo,no,no,no_puede,no,2.6963,segundo_secundaria_general,soltero/a,209.9875,35499.5761,neutral,satisfecho/a,satisfecho/a,satisfecho/a,7.878548407362436
Galicia,69,mujer,nivel_bajo,no,no,si,no,5.1682,primero_secundaria,casado/a,132.5504,31700.8234,muy_satisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,8.492870282876488
Galicia,62,hombre,nivel_bajo,si,si,si,no,6.0955,primero_secundaria,soltero/a,155.0915,29103.5663,neutral,satisfecho/a,satisfecho/a,muy_satisfecho/a,8.514342933774138
Galicia,51,hombre,nivel_moderado,no,si,no,si,7.1784,educacion_superior,casado/a,137.3345,25406.0639,muy_satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.566541063805557
Galicia,69,mujer,nivel_bajo,si,si,no,no,2.1523,educacion_superior,casado/a,171.764,22658.0355,insatisfecho/a,satisfecho/a,neutral,satisfecho/a,7.658008062704905
Galicia,50,hombre,nivel_moderado,no,no,no,no,1.3087,educacion_superior,soltero/a,214.5077,22682.1996,muy_satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,6.961592237795618
Galicia,76,mujer,nivel_bajo,no,si,no,no,5.3383,primaria,viudo/a,173.2933,25828.0918,muy_satisfecho/a,satisfecho/a,satisfecho/a,insatisfecho/a,8.284087323796296
Galicia,45,hombre,nivel_moderado,no,no,no,no,0.0,primero_secundaria,casado/a,136.971,15661.0139,muy_satisfecho/a,muy_satisfecho/a,neutral,muy_satisfecho/a,7.978339031695586
Galicia,53,hombre,nivel_moderado,no,no,no_puede,no,4.3243,primero_secundaria,soltero/a,124.5916,28793.5077,muy_insatisfecho/a,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,7.50594257271209
Galicia,71,mujer,nivel_alto,si,no,no,no,3.3813,educacion_superior,casado/a,152.5295,21740.342,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.058051597332646
Galicia,87,hombre,nivel_bajo,si,si,no,no,6.5575,primaria,casado/a,120.4058,31923.5453,neutral,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.250118924794885
Galicia,53,mujer,nivel_moderado,no,no,no,si,1.6939,educacion_superior,soltero/a,183.0256,13973.3236,satisfecho/a,satisfecho/a,neutral,satisfecho/a,7.529991540258397
Galicia,77,hombre,nivel_bajo,si,no_puede,si,no,5.9653,educacion_superior,casado/a,105.4831,31294.2165,satisfecho/a,satisfecho/a,muy_satisfecho/a,satisfecho/a,8.431997249664246
Galicia,46,hombre,nivel_bajo,no,no,si,si,6.4948,primero_secundaria,soltero/a,152.4557,17116.709,muy_satisfecho/a,satisfecho/a,muy_satisfecho/a,neutral,7.023252905668814
Galicia,64,hombre,nivel_bajo,si,no,no,no,2.7055,educacion_superior,casado/a,195.9689,32343.3738,muy_insatisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.276381785783131
Galicia,70,hombre,nivel_moderado,si,no,no,no,3.1413,primero_secundaria,soltero/a,155.6067,35693.083,satisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,8.297871242427409
Galicia,57,mujer,nivel_moderado,no,no,no,si,4.9319,segundo_secundaria_general,soltero/a,173.8852,27497.5068,muy_insatisfecho/a,insatisfecho/a,satisfecho/a,satisfecho/a,8.20395656214007
Galicia,60,mujer,nivel_moderado,no_puede,no,si,no,2.2826,educacion_superior,casado/a,177.2459,16536.9565,muy_satisfecho/a,satisfecho/a,neutral,satisfecho/a,7.450515018037961
Galicia,10,hombre,nivel_bajo,no,no,no,no,4.8085,primaria,soltero/a,0.0,0.0,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.222934457692808
Galicia,25,mujer,nivel_bajo,no,no,no,si,4.1568,educacion_superior,viudo/a,72.3328,30794.8104,insatisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.893976509103927
Galicia,56,mujer,nivel_alto,no,no_puede,no,no,2.334,segundo_secundaria_general,soltero/a,179.3919,25443.0779,muy_insatisfecho/a,satisfecho/a,neutral,satisfecho/a,7.34168447748071
Galicia,47,mujer,nivel_moderado,no,no,no,si,3.2426,primero_secundaria,casado/a,166.9635,23715.0989,satisfecho/a,neutral,satisfecho/a,neutral,8.529838913067936
Galicia,81,hombre,nivel_bajo,si,no,no,no,4.6061,primero_secundaria,casado/a,72.6214,15646.0541,insatisfecho/a,satisfecho/a,muy_satisfecho/a,satisfecho/a,6.647827043025426
Galicia,70,hombre,nivel_moderado,no_puede,no,no,si,7.7883,educacion_superior,casado/a,93.8923,20103.3054,satisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,7.3801832393130535
Galicia,47,mujer,nivel_moderado,no,si,si,no,4.8661,primero_secundaria,soltero/a,264.2715,21980.1152,satisfecho/a,satisfecho/a,neutral,satisfecho/a,7.572837616237125
Galicia,90,hombre,nivel_bajo,si,si,no_puede,si,5.8372,primero_secundaria,soltero/a,150.9363,14236.5126,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.833361174225579
Galicia,19,mujer,nivel_bajo,no,no,si,si,2.1997,educacion_superior,soltero/a,123.9989,26761.8853,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.911612088826434
Galicia,68,hombre,nivel_bajo,no,no,si,no,0.5738,primero_secundaria,soltero/a,106.4902,25845.4971,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,6.53194652247698
Galicia,31,hombre,nivel_moderado,si,no,no,si,4.0116,segundo_secundaria_profesional_,casado/a,142.4262,21417.5825,satisfecho/a,satisfecho/a,satisfecho/a,neutral,7.83965592290262
Galicia,56,mujer,nivel_bajo,no,no,si,no,3.9762,primaria,soltero/a,95.8288,20507.5438,satisfecho/a,satisfecho/a,satisfecho/a,neutral,8.625585613195787
Galicia,49,mujer,nivel_moderado,no,si,no,no,5.4421,segundo_secundaria_profesional_,soltero/a,129.238,21562.2378,satisfecho/a,satisfecho/a,neutral,muy_satisfecho/a,7.734145776556081
Galicia,78,mujer,nivel_bajo,no,no,no,no,3.0553,educacion_superior,casado/a,113.7161,27912.4143,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.863915929257547
Galicia,50,mujer,nivel_bajo,no,no,si,no,1.3931,educacion_superior,viudo/a,102.5853,21107.2974,muy_insatisfecho/a,satisfecho/a,neutral,satisfecho/a,7.6181439441317025
Galicia,92,mujer,nivel_bajo,si,no,no,no,5.3346,primaria,soltero/a,198.9088,26475.8165,muy_insatisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.442053195952493
Galicia,41,mujer,nivel_bajo,no,no,si,no,2.7604,primaria,casado/a,120.3326,19683.8012,satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,6.974691667784072
Galicia,50,mujer,nivel_bajo,no,no,si,si,2.9437,primero_secundaria,casado/a,187.0675,21422.6111,satisfecho/a,muy_satisfecho/a,insatisfecho/a,muy_satisfecho/a,7.9940407616640305
Galicia,45,hombre,nivel_moderado,no,si,no,no,6.2205,primero_secundaria,casado/a,165.0835,25115.1875,satisfecho/a,satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,7.592774687322822
Galicia,47,hombre,nivel_moderado,si,no,si,no,2.6573,primero_secundaria,soltero/a,94.4504,21974.3793,neutral,insatisfecho/a,satisfecho/a,satisfecho/a,8.274959590247803
Galicia,51,hombre,nivel_moderado,no,no,no,no,0.0,segundo_secundaria_profesional_,casado/a,174.8552,23647.8608,insatisfecho/a,satisfecho/a,insatisfecho/a,insatisfecho/a,7.948877723809287
Galicia,60,mujer,nivel_bajo,no,no,si,si,4.7159,primero_secundaria,soltero/a,206.0306,24012.4437,muy_insatisfecho/a,satisfecho/a,satisfecho/a,insatisfecho/a,7.75553243759888
Galicia,68,mujer,nivel_moderado,no,si,no,si,4.0489,primero_secundaria,casado/a,186.6192,32409.8168,muy_satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.257019942303403
Galicia,13,hombre,nivel_moderado,no,no,si,si,6.2084,primero_secundaria,soltero/a,0.0,0.0,insatisfecho/a,neutral,satisfecho/a,satisfecho/a,8.133105298655916
Galicia,58,hombre,nivel_bajo,si,no,no,no,3.799,educacion_superior,soltero/a,154.8064,21471.3918,satisfecho/a,muy_satisfecho/a,insatisfecho/a,satisfecho/a,7.758285537111326
Galicia,54,hombre,nivel_bajo,no,no,si,no,4.6839,segundo_secundaria_general,casado/a,178.477,15453.1705,satisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,8.188884899883263
Galicia,53,mujer,nivel_alto,no,si,si,no_puede,2.1444,primero_secundaria,viudo/a,246.5541,26904.587,insatisfecho/a,satisfecho/a,neutral,satisfecho/a,7.516920561062086
Galicia,51,mujer,nivel_moderado,no,no,si,si,4.6717,segundo_secundaria_general,viudo/a,152.9892,18441.8081,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.430645509581751
Galicia,50,mujer,nivel_moderado,no_puede,no,si,no,5.8261,primero_secundaria,soltero/a,104.424,10185.5577,satisfecho/a,satisfecho/a,neutral,neutral,7.475432634815811
Galicia,20,mujer,nivel_moderado,si,no,no,si,7.2689,analfabetos,soltero/a,167.7099,21572.9202,satisfecho/a,neutral,neutral,satisfecho/a,8.523089084426438
Galicia,58,hombre,nivel_bajo,no,si,no,no,1.7794,primaria,casado/a,128.0067,17505.2159,satisfecho/a,neutral,satisfecho/a,satisfecho/a,8.245215401352834
Galicia,29,mujer,nivel_moderado,no_puede,si,si,no_puede,3.0104,educacion_superior,soltero/a,145.083,21849.8502,satisfecho/a,muy_satisfecho/a,satisfecho/a,satisfecho/a,8.074084245630221
Galicia,29,hombre,nivel_alto,no,no,no,no,5.2064,primaria,soltero/a,121.1034,32744.2418,neutral,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.747122787444447
Galicia,67,hombre,nivel_bajo,no_puede,si,no,no,5.207,segundo_secundaria_general,viudo/a,129.3588,27132.8811,satisfecho/a,satisfecho/a,insatisfecho/a,muy_satisfecho/a,7.581133472960274
Galicia,48,mujer,nivel_moderado,no,si,si,no,2.6499,segundo_secundaria_general,soltero/a,139.6512,17802.0704,insatisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.24153265479775
Galicia,47,mujer,nivel_moderado,no,no,no,no,6.8415,segundo_secundaria_profesional_,soltero/a,145.2597,16958.2375,insatisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.857664057011388
Galicia,19,mujer,nivel_moderado,no,no_puede,no,no,5.0525,segundo_secundaria_profesional_,soltero/a,95.6544,14181.6049,neutral,satisfecho/a,satisfecho/a,satisfecho/a,6.574457232823338
Galicia,46,mujer,nivel_moderado,si,no,no,no,3.2366,segundo_secundaria_general,soltero/a,179.2566,20546.5859,neutral,satisfecho/a,neutral,satisfecho/a,7.349988022894034
Galicia,82,hombre,nivel_bajo,si,si,no_puede,si,2.4627,primaria,soltero/a,153.0121,21303.4275,satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,8.00473814957301
Galicia,49,hombre,nivel_alto,no,no_puede,si,no,6.855,primaria,casado/a,153.1646,22877.9328,insatisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.160365693568059
Galicia,60,mujer,nivel_bajo,no_puede,no,no,no,2.5871,educacion_superior,casado/a,148.0043,28170.6323,satisfecho/a,insatisfecho/a,satisfecho/a,satisfecho/a,6.976196335782245
Galicia,42,mujer,nivel_moderado,no,no,no,no,3.0231,primero_secundaria,soltero/a,163.4683,24127.6888,muy_satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,muy_satisfecho/a,8.021555569328399
Galicia,58,mujer,nivel_bajo,no,si,no,no,3.5448,primaria,soltero/a,177.1827,31991.5695,satisfecho/a,neutral,satisfecho/a,satisfecho/a,6.716414126244623
Galicia,61,mujer,nivel_moderado,si,si,si,no,6.0226,segundo_secundaria_general,soltero/a,211.6712,16042.9094,muy_satisfecho/a,satisfecho/a,satisfecho/a,satisfecho/a,7.452951121316458
Galicia,63,mujer,nivel_moderado,si,no,no,no,6.8686,educacion_superior,viudo/a,150.4589,7208.3014,muy_satisfecho/a,satisfecho/a,satisfecho/a,muy_satisfecho/a,7.459720038816499
Galicia,59,hombre,nivel_moderado,no,no,no,no_puede,6.7739,primero_secundaria,casado/a,148.706,23924.2532,satisfecho/a,satisfecho/a,neutral,insatisfecho/a,8.126780154712652
Galicia,44,hombre,nivel_moderado,no,no,no,no,1.3857,segundo_secundaria_profesional_,casado/a,131.4983,20499.7867,muy_insatisfecho/a,satisfecho/a,insatisfecho/a,satisfecho/a,5.974446211297364
Galicia,56,hombre,nivel_moderado,no,no,no,no,5.5209,educacion_superior,casado/a,91.0296,28725.3794,insatisfecho/a,neutral,insatisfecho/a,satisfecho/a,7.00111337193489
Galicia,76,mujer,nivel_bajo,no,no,si,no,4.7333,primero_secundaria,viudo/a,170.8978,16711.1592,insatisfecho/a,muy_satisfecho/a,satisfecho/a,muy_satisfecho/a,7.995338634113474
